#Supplementary Table 2 Summary of protein targets measured using the Olink Explore HT platform,,,,,,,,,,,,,,,,,,,,,,,,,,,
#sd - standard deviation; cv - coefficient of variation; p.dip - p-value of a dip test for multi-modal distribution: cis.pQTL - whehter or not a cis-pQTL was identified; med.pred = median (and 25th and 75th percentil) value of predicted correlation coefficient across all protein groups measued; Seer ID - best correlating Seer protein group; spear.seer = associated Spearman correlation coefficient; SomaLogic ID = best correlating aptamer ID; spear.soma = associated Spearman correlation coefficient
#
Olink ID,OlinkID_vendor,Assay,UniProt,Block,missing.per.olink,below.lod.per.olink,cv.olink,mean.cv.olink,sd.cv.olink,n.olink,mean.l2.olink,sd.l2.olink,median.l2.olink,min.l2.olink,max.l2.olink,faction.outlier.olink,p.dip.olink,cis.pQTL.olink,cis.pav.olink,med.pred,p25.pred,p75.pred,Seer ID,spear.seer,SomaLogic ID,spear.soma,correlation.cluster
A1BG_45433,OID45433,A1BG,P04217,8,0.84,5.19,15.27,-0.08,0.25,22.00,0.03,0.26,0.05,-1.41,0.80,0.00,0.99,FALSE,FALSE,0.43,0.43,0.44,prot.1763,0.34,seq.16561.9,0.44,
A1CF_44432,OID44432,A1CF,Q9NQ94,5,0.07,84.82,19.65,-0.05,0.29,22.00,0.08,0.69,0.01,-3.14,6.77,0.00,0.99,FALSE,FALSE,0.13,0.13,0.14,,,seq.12423.38,0.02,
AAAS_40751,OID40751,AAAS,Q9NRG9,2,0.14,56.59,39.92,-0.62,0.56,22.00,0.03,1.33,-0.13,-7.81,7.92,0.00,0.99,FALSE,FALSE,0.06,0.06,0.06,prot.7584,0.10,seq.28449.7,-0.02,
AAGAB_40752,OID40752,AAGAB,Q6PD74,2,0.14,59.44,43.29,0.96,0.59,22.00,1.42,0.88,1.41,-2.16,4.76,0.00,0.95,FALSE,FALSE,0.31,0.30,0.32,prot.4021,0.40,seq.11926.23,0.34,
AAMDC_43311,OID43311,AAMDC,Q9H7C9,4,0.00,33.26,14.35,0.54,0.21,22.00,0.61,0.47,0.60,-1.04,2.99,0.00,0.99,TRUE,TRUE,0.44,0.44,0.45,prot.5505,0.57,seq.24216.30,0.57,
AARSD1_43312,OID43312,AARSD1,Q9BTE6,4,0.00,6.75,38.79,1.12,0.38,22.00,1.50,0.75,1.43,-1.35,5.34,0.01,1.00,FALSE,FALSE,0.26,0.26,0.28,,,seq.21535.5,0.05,
AASDH_40753,OID40753,AASDH,Q4L235,2,0.14,84.39,73.71,-1.40,2.19,22.00,-0.24,2.26,-0.07,-6.89,9.27,0.00,0.06,FALSE,FALSE,0.04,0.03,0.04,prot.3770,0.07,seq.34326.35,0.02,
ABCA2_42080,OID42080,ABCA2,Q9BZC7,3,0.00,59.64,88.93,0.29,1.09,22.00,0.50,1.32,0.57,-6.98,6.23,0.01,0.82,FALSE,FALSE,0.12,0.12,0.12,,,,,
ABCB5_40754,OID40754,ABCB5,Q2M3G0,2,0.14,77.98,79.91,-0.37,1.10,22.00,-0.25,1.17,-0.20,-7.83,7.06,0.00,0.99,FALSE,FALSE,0.01,0.01,0.01,,,seq.35220.41,-0.01,
ABCC6_40755,OID40755,ABCC6,O95255,2,0.14,43.34,33.90,-0.70,0.44,22.00,0.24,1.31,0.00,-3.08,9.18,0.00,0.99,FALSE,FALSE,0.05,0.05,0.05,,,seq.8935.22,-0.10,
ABCC8_40756,OID40756,ABCC8,Q09428,2,0.14,82.79,76.93,-0.92,1.02,22.00,-0.17,1.44,-0.19,-7.79,7.76,0.00,0.97,FALSE,FALSE,0.03,0.03,0.03,,,,,
ABCF2_40757,OID40757,ABCF2,Q9UG63,2,0.14,62.93,40.41,-0.09,0.56,22.00,0.19,0.76,0.14,-2.26,6.40,0.00,0.99,FALSE,FALSE,0.10,0.10,0.11,prot.5927,0.22,,,
ABCF3_40001,OID40001,ABCF3,Q9NUQ8,1,0.00,79.47,29.48,0.00,0.50,22.00,0.27,0.74,0.25,-1.94,5.86,0.01,0.99,FALSE,FALSE,0.07,0.06,0.07,prot.5720,0.04,seq.23700.42,0.08,
ABHD14B_43313,OID43313,ABHD14B,Q96IU4,4,0.00,36.26,10.82,-1.59,0.16,22.00,-1.45,0.51,-1.45,-3.33,3.79,0.01,1.00,FALSE,FALSE,0.35,0.33,0.35,prot.4968,0.40,seq.19325.21,-0.14,
ABHD5_40002,OID40002,ABHD5,Q8WTS1,1,0.00,66.04,49.36,-1.16,0.91,22.00,-0.52,1.33,-0.57,-7.90,7.65,0.02,0.94,FALSE,FALSE,0.07,0.07,0.07,prot.4640,0.09,seq.23393.56,0.11,
ABHD8_40003,OID40003,ABHD8,Q96I13,1,0.00,71.12,236.79,-1.00,3.26,22.00,-0.28,3.67,-0.08,-5.91,11.99,0.00,0.00,FALSE,FALSE,0.00,0.00,0.00,,,seq.31270.376,-0.03,
