#Supplementary Table 1 Summary of protein groups measured in at least one sample of the Genes & Health cohort
#.ref - indicates protein and precursor (pre.) data obtained including all possible peptides; .mac5 - excluding variant peptides with evidence that respective protein altering variants exist in the Genes & Health population down to a minor allele count (MAC) of 5; sd - standard deviation; cv - coefficient of variation; p.dip - p-value of a dip test for multi-modal distribution: cis.pQTL - whehter or not a cis-pQTL was identified; med.pred = median (and 25th and 75th percentil) value of predicted correlation coefficient across all protein groups measued; Olink ID - best correlating olink target; spear.olink = associated Spearman correlation coefficient; SomaLogic ID = best correlating aptamer ID; spear.soma = associated Spearman correlation coefficient
#
prot.id,protein_group_id,uniprotswissprot,chromosome,start_position,end_position,ensembl_gene_id,hgnc_symbol,num.pre.well1.ref,num.pre.well2.ref,missing.per.ref,mean.l2.ref,sd.l2.ref,num.pre.well1.mac5,num.pre.well2.mac5,cv.mac5,mean.cv.mac5,sd.cv.mac5,n.mac5,missing.per.mac5,mean.l2.mac5,sd.l2.mac5,median.l2.mac5,min.l2.mac5,max.l2.mac5,p.dip.mac5,faction.outlier.mac5,cis.pQTL,med.pred,p25.pred,p75.pred,Olink ID,spear.olink,SomaLogic ID,spear.soma,correlation.cluster,cell type contamination marker
prot.1,A0A024QZX5;A0A087X1N8,P35237,6,2948159,2972165,ENSG00000124570,SERPINB6,32,32,0.00,14.41,0.62,32,32,18.15,14.25,0.25,22.00,0.00,14.41,0.62,14.43,10.87,16.59,0.99,0.01,FALSE,0.39,0.37,0.40,,,,,1,
prot.10,A0A075B6I4,A0A075B6I4,22,22214794,22215270,ENSG00000211642,IGLV10-54,2,1,89.98,15.15,1.39,2,1,71.80,16.82,1.20,11.00,89.98,15.15,1.39,15.10,12.54,20.26,0.85,0.02,FALSE,0.18,0.16,0.19,,,,,,
prot.100,A0A0A0MTI1,Q15392,1,54849627,54887195,ENSG00000116133,DHCR24,10,10,25.05,12.49,0.69,10,10,49.47,12.46,0.68,16.00,25.05,12.49,0.69,12.53,9.92,15.82,0.99,0.00,FALSE,0.12,0.12,0.14,,,,,,
prot.1000,M0R122;P54852,P54852,19,48321509,48330553,ENSG00000142227,EMP3,1,1,6.05,13.65,0.59,1,1,22.80,13.58,0.35,20.00,6.05,13.65,0.59,13.68,10.82,15.68,0.97,0.00,FALSE,0.20,0.18,0.22,,,,,,
prot.1001,M0R1T5;O43633,O43633,19,58551452,58555105,ENSG00000130724,CHMP2A,14,14,0.00,14.74,0.49,10,10,14.86,14.79,0.21,22.00,0.00,15.13,0.52,15.17,11.94,17.17,0.99,0.01,FALSE,0.56,0.55,0.57,,,seq.17728.61,0.84,1,
prot.1002,M0R2B7,P28340,19,50384204,50418018,ENSG00000062822,POLD1,1,1,25.12,15.11,0.62,1,1,21.28,14.99,0.31,19.00,25.12,15.11,0.62,15.14,12.37,17.17,0.98,0.00,FALSE,0.09,0.09,0.09,,,,,,
prot.1003,M0R344,Q9NRA0,19,48619291,48630717,ENSG00000063176,SPHK2,4,4,45.58,11.86,0.63,4,4,43.78,11.47,0.66,7.00,45.58,11.86,0.63,11.91,8.66,13.81,0.97,0.01,FALSE,0.12,0.12,0.13,,,,,,
prot.1004,M0R3D4;Q9UI14,Q9UI14,19,41956681,41959321,ENSG00000105404,RABAC1,2,2,2.92,13.62,0.55,2,2,26.99,13.52,0.41,21.00,2.92,13.62,0.55,13.65,10.17,15.46,0.84,0.00,FALSE,0.17,0.16,0.18,,,,,,
prot.1005,O00116,O00116,2,177392746,177567024,ENSG00000018510,AGPS,37,36,0.00,14.13,0.63,37,36,19.61,13.80,0.29,22.00,0.00,14.13,0.63,14.17,10.45,16.76,0.92,0.01,FALSE,0.33,0.32,0.33,,,seq.26060.7,0.15,1,
prot.1006,O00139-4,O00139,5,62306162,62391025,ENSG00000068796,KIF2A,48,46,0.00,15.71,0.63,48,46,29.02,15.67,0.35,22.00,0.00,15.71,0.63,15.75,11.51,18.15,0.96,0.01,FALSE,0.54,0.53,0.55,,,,,1,
prot.1007,O00142,O00142,16,66508003,66552544,ENSG00000166548,TK2,11,10,0.00,14.04,0.35,11,10,16.24,13.73,0.24,22.00,0.00,14.04,0.35,14.06,12.00,15.60,0.99,0.00,FALSE,0.25,0.25,0.26,,,seq.19114.8,0.13,,
prot.1008,O00151,O00151,10,95237572,95291012,ENSG00000107438,PDLIM1,33,33,0.00,16.42,0.69,27,27,27.86,16.26,0.33,22.00,0.00,16.45,0.69,16.49,11.53,19.21,0.83,0.01,FALSE,0.52,0.52,0.53,PDLIM1_45215,0.55,seq.11428.31,0.60,1,
prot.1009,O00154,O00154,1,6264269,6393767,ENSG00000097021,ACOT7,20,20,0.00,14.33,0.62,20,20,15.21,14.01,0.22,22.00,0.00,14.33,0.62,14.37,10.30,16.58,0.99,0.01,FALSE,0.30,0.29,0.31,,,seq.26092.58,0.10,1,
prot.101,A0A0A0MTL6;Q6ZS17-4,Q6ZS17,16,67518418,67546788,ENSG00000039523,RIPOR1,5,5,40.43,11.05,0.61,5,5,40.43,11.11,0.55,12.00,40.43,11.05,0.61,11.09,8.79,12.69,1.00,0.00,FALSE,0.13,0.12,0.13,,,,,,
prot.1010,O00159-3,O00159,17,1464186,1492686,ENSG00000197879,MYO1C,65,64,0.00,14.05,0.55,60,59,19.92,13.87,0.28,22.00,0.00,14.03,0.56,14.05,11.13,16.06,1.00,0.00,FALSE,0.47,0.46,0.48,,,,,1,
prot.1011,O00160,O00160,19,8520778,8577442,ENSG00000142347,MYO1F,37,37,0.07,12.88,0.39,34,34,17.13,12.65,0.24,22.00,0.07,12.89,0.39,12.88,11.52,14.87,1.00,0.01,FALSE,0.38,0.36,0.39,,,,,,
prot.1012,O00161,O00161,15,42491233,42545356,ENSG00000092531,SNAP23,25,25,0.00,15.49,0.65,25,25,23.14,15.44,0.29,22.00,0.00,15.49,0.65,15.52,11.22,18.06,1.00,0.01,FALSE,0.59,0.58,0.59,SNAP23_44942,0.66,seq.20241.9,-0.03,1,
prot.1013,O00170,O00170,11,67468174,67491154,ENSG00000110711,AIP,15,15,0.49,13.36,0.52,15,15,18.15,13.07,0.28,22.00,0.49,13.36,0.52,13.41,10.32,15.31,0.99,0.00,FALSE,0.40,0.39,0.41,,,seq.3839.60,0.49,,
prot.1014,O00175,O00175,7,75810825,75823356,ENSG00000106178,CCL24,4,4,0.00,14.53,0.76,4,4,20.59,15.35,0.30,22.00,0.00,14.53,0.76,14.49,12.18,17.30,0.93,0.00,TRUE,0.69,0.69,0.70,CCL24_44502,0.92,seq.4128.27,-0.01,,
prot.1015,O00178,O00178,22,38705742,38738299,ENSG00000100226,GTPBP1,35,34,0.00,13.35,0.51,35,34,16.94,13.02,0.24,22.00,0.00,13.35,0.51,13.36,10.93,15.47,0.61,0.01,FALSE,0.60,0.59,0.60,,,seq.28452.288,0.75,1,
prot.1016,O00182;O00182-2,O00182,17,27629798,27649560,ENSG00000168961,LGALS9,8,8,33.33,12.31,0.63,7,7,31.28,12.37,0.60,12.00,34.38,12.33,0.63,12.37,9.94,14.30,0.99,0.00,FALSE,0.13,0.12,0.13,LGALS9_44751,0.11,seq.9197.4,0.04,,
prot.1017,O00186,O00186,1,108746674,108809523,ENSG00000116266,STXBP3,38,38,0.00,14.38,0.53,36,36,21.54,14.26,0.28,22.00,0.00,14.41,0.53,14.44,11.18,16.53,0.99,0.01,FALSE,0.30,0.29,0.31,STXBP3_43144,0.11,seq.33158.135,0.15,1,
prot.1018,O00187,O00187,1,11022009,11047239,ENSG00000009724,MASP2,57,60,0.00,16.53,0.38,48,51,10.34,16.39,0.15,22.00,0.00,16.59,0.37,16.61,15.13,17.90,0.99,0.00,FALSE,0.43,0.42,0.43,,,seq.32990.10,0.37,,
prot.1019,O00187-2,O00187,1,11022009,11047239,ENSG00000009724,MASP2,2,2,0.56,14.05,0.48,2,2,24.61,13.82,0.34,22.00,0.56,14.05,0.48,14.07,12.11,16.35,0.94,0.00,TRUE,0.13,0.12,0.14,,,seq.32990.10,0.03,,
prot.102,A0A0A0MTR7,Q63HN8,17,80260852,80398794,ENSG00000173821,RNF213,123,121,0.00,12.39,0.46,15,15,26.80,12.13,0.42,22.00,1.11,12.37,0.45,12.39,10.09,14.14,0.99,0.00,FALSE,0.24,0.23,0.24,,,,,,
prot.1020,O00189,O00189,7,100100858,100110345,ENSG00000221838,AP4M1,13,13,4.87,12.39,0.53,12,12,30.27,12.26,0.42,22.00,5.57,12.30,0.52,12.34,9.88,13.85,0.78,0.00,FALSE,0.25,0.24,0.25,,,seq.10076.1,0.31,,
prot.1021,O00194,O00194,18,54717860,54895516,ENSG00000041353,RAB27B,20,20,0.00,16.39,0.70,19,19,30.48,16.06,0.38,22.00,0.00,16.14,0.71,16.18,10.27,18.91,0.99,0.01,FALSE,0.48,0.47,0.49,RAB27B_44889,0.54,seq.13596.3,0.06,1,
prot.1022,O00203,O00203,5,78000522,78294762,ENSG00000132842,AP3B1,57,57,0.00,14.11,0.59,56,56,22.01,13.85,0.29,22.00,0.00,14.11,0.59,14.14,9.74,16.58,1.00,0.01,FALSE,0.50,0.50,0.50,AP3B1_43370,0.50,,,1,
prot.1023,O00214-2,O00214,1,236518000,236552981,ENSG00000116977,LGALS8,15,15,0.56,13.25,0.57,7,7,22.31,12.98,0.30,22.00,0.56,13.54,0.60,13.60,9.74,15.68,1.00,0.01,TRUE,0.54,0.53,0.54,LGALS8_44750,0.71,seq.4909.68,-0.05,,
prot.1024,O00217,O00217,11,68030617,68036644,ENSG00000110717,NDUFS8,5,5,2.02,13.65,0.52,5,5,23.86,13.45,0.32,22.00,2.02,13.65,0.52,13.69,11.13,15.50,0.99,0.00,FALSE,0.28,0.28,0.30,,,,,,
prot.1025,O00230,O00230,1,10450031,10451998,ENSG00000241563,CORT,2,2,47.32,13.63,0.45,2,2,19.85,14.11,0.33,6.00,47.32,13.63,0.45,13.66,9.63,15.19,0.99,0.00,FALSE,0.27,0.26,0.29,,,,,,
